"run_index","weibull_lambda","senescence_dose_response__max_effect","senescence_dose_response__half_sat","juv_decline_dose_response__max_effect","juv_decline_age_half_sat","shade_dose_response__max_effect","shade_dose_response__half_sat","R_max","K_half","age_first_flower_mean","N_alive_mean","N_alive_cv","N_alive_trend","N_IUCN_mean","adult_frac_mean","adult_frac_final","juv_age_mean","adult_age_mean","recruit_rate","births_mean","extinction"
68,45,0,15,0.4725,6.25,0.3,8000,1525,1150,3,25020.4,0.00334590942517045,4.79490996398561,22884.72,0.914642114966468,0.915006587089305,0.767496477219352,44.8233420593368,0.0450722368184314,1127.74,0
69,45,0,15,0.4725,6.25,0.3,8000,100,1150,3,2286.68,0.0135123460898862,-1.63236494597839,2127.8,0.930547569505117,0.925471284524331,1.04705882352941,49.5992420653719,0.0268024672895063,61.32,0
70,45,0,15,0.4725,6.25,0.3,8000,100,4000,3,917.62,0.097467503410486,-6.10885954381753,870.5,0.948490192949103,0.958868894601542,1.21875,62.7882037533512,0.0183679331956542,16.84,0
71,45,0.45,15,0.4725,6.25,0.3,8000,100,4000,3,241.88,1.94989153278469,-22.5360864345738,226.72,0.886649222586293,NA,NA,NA,0.0230390417052988,4.14,1
72,45,0.45,15,0.4725,1,0.3,8000,100,4000,3,9.62,1.47694428391076,-0.764321728691477,8.56,0.931953709611655,NA,NA,NA,0.0168970821658726,0.28,1
73,45,0.45,15,0.4725,1,0.3,8000,100,4000,8.25,144.72,1.79058192396466,-13.1157743097239,104.2,0.7552120146071,NA,NA,NA,0.0141486017304031,2.5,1
74,45,0.45,15,0.99,1,0.3,8000,100,4000,8.25,405.605263157895,1.79452038895732,-47.7490972754131,295.657894736842,0.754069188937569,NA,NA,NA,0.0111350995945753,5.05263157894737,1
75,45,0.45,15,0.99,1,0.7875,8000,100,4000,8.25,357.186046511628,1.93476199144072,-38.4326487466023,260.511627906977,0.722401665890183,NA,NA,NA,0.0102508006856093,4.41860465116279,1
76,45,0.45,48.75,0.99,1,0.7875,8000,100,4000,8.25,5.5,0.667537520825787,-0.243025210084034,4.52,0.858561327561328,NA,NA,NA,0.0208658008658009,0.14,1
77,120,0.45,48.75,0.99,1,0.7875,8000,100,4000,8.25,12.4,0.557298922693448,-0.469147659063625,9.78,0.789324553158811,0.666666666666667,4,20.5,0.0221011584607493,0.28,0
78,120,0.45,48.75,0.3,2.75,0.3,8000,100,3050,4.75,83.38,0.123333073505926,-0.662040816326531,72.76,0.873559141851701,0.904761904761905,2.5,21.9298245614035,0.0265255531908705,2.24,0
79,120,0.45,48.75,0.3,2.75,0.3,8000,100,3050,10,24.98,0.344509984717422,-0.566194477791116,19.3,0.766040236526717,0.769230769230769,6.66666666666667,24.2,0.0206312031372488,0.52,0
80,120,0.45,48.75,0.3,2.75,0.7875,8000,100,3050,10,35.76,0.292449707103642,-0.688307322929172,25.64,0.722874473939224,0.722222222222222,4.2,25.3846153846154,0.025740843332745,0.92,0
81,120,0.45,48.75,0.3,8,0.7875,8000,100,3050,10,14.4,0.287869407312439,-0.271020408163265,10.82,0.767232558097143,0.7,1.66666666666667,27.1428571428571,0.0239760458839406,0.34,0
82,45,0.45,48.75,0.3,8,0.7875,8000,100,3050,10,7.62,0.258268957666508,-0.115486194477791,5.88,0.794164502164502,1,NA,25.25,0.0187546897546898,0.16,0
83,45,0.45,48.75,0.3,8,0.7875,8000,100,200,10,1441.96,0.010351867406656,-0.0577190876350563,852.3,0.591123656035695,0.615275813295615,4.21323529411765,21.0149425287356,0.0516291514364176,74.48,0
84,45,0.45,15,0.3,8,0.7875,8000,100,200,10,402.84,0.0758936648911459,1.84307322929172,107.6,0.267145394942929,0.277185501066098,4.23598820058997,12.4,0.0870695335733544,35.14,0
85,45,0.45,15,0.3,8,0.7875,2375,100,200,10,382.5,0.0306813275104673,0.39812725090036,105.6,0.27597259081063,0.274463007159905,3.91447368421053,13.0695652173913,0.0860034539493102,32.96,0
